from_station_id,to_station_id,from_stop_id,from_stop_name,to_stop_id,to_stop_name,peak,offpeak
14,1,14,Spuyten Duyvil,1,Grand Central,975,725
622,37,622,Yankees-E153 St.,37,Cortlandt,800,800
85,61,85,Bedford Hills,61,Wakefield,800,800
90,176,90,Croton Falls,176,Tenmile River,750,750
14,37,14,Spuyten Duyvil,37,Cortlandt,800,800
66,84,66,Tuckahoe,84,Mount Kisco,725,725
99,81,99,Appalachian Trail,81,Pleasantville,825,825
78,58,78,Valhalla,58,Williams Bridge,575,575
65,88,65,Bronxville,88,Goldens Bridge,725,725
76,97,76,North White Plains,97,Patterson,1150,1150
29,22,29,Philipse Manor,22,Hastings-on-Hudson,300,300
40,31,40,Manitou,31,Ossining,675,675
11,4,11,Marble Hill,4,Harlem-125th St.,975,725
112,56,112,Harrison,56,Fordham,425,425
58,85,58,Williams Bridge,85,Bedford Hills,800,800
61,90,61,Wakefield,90,Croton Falls,1150,1150
62,55,62,Mt Vernon West,55,Tremont,300,300
81,68,81,Pleasantville,68,Crestwood,500,500
25,24,25,Irvington,24,Ardsley-on-Hudson,300,300
622,14,622,Yankees-E153 St.,14,Spuyten Duyvil,300,300
62,91,62,Mt Vernon West,91,Brewster,875,875
22,18,22,Hastings-on-Hudson,18,Yonkers,300,300
74,65,74,White Plains,65,Bronxville,300,300
66,61,66,Tuckahoe,61,Wakefield,300,300
4,86,4,Harlem-125th St.,86,Katonah,1750,1325
64,100,64,Fleetwood,100,HM Valley-Wingdale,1525,1525
17,25,17,Ludlow,25,Irvington,300,300
62,176,62,Mt Vernon West,176,Tenmile River,1600,1600
1,80,1,Grand Central,80,Hawthorne,1475,1125
88,85,88,Goldens Bridge,85,Bedford Hills,300,300
99,94,99,Appalachian Trail,94,Southeast,425,425
100,59,100,HM Valley-Wingdale,59,Woodlawn,1675,1675
65,101,65,Bronxville,101,Dover Plains,1525,1525
57,97,57,Botanical Garden,97,Patterson,1450,1450
58,62,58,Williams Bridge,62,Mt Vernon West,300,300
176,54,176,Tenmile River,54,Melrose,1800,1800
25,1,25,Irvington,1,Grand Central,1275,975
58,98,58,Williams Bridge,98,Pawling,1450,1450
110,108,110,Larchmont,108,New Rochelle,300,300
62,68,62,Mt Vernon West,68,Crestwood,300,300
54,64,54,Melrose,64,Fleetwood,300,300
94,100,94,Southeast,100,HM Valley-Wingdale,650,650
37,11,37,Cortlandt,11,Marble Hill,800,800
16,37,16,Riverdale,37,Cortlandt,800,800
1,57,1,Grand Central,57,Botanical Garden,975,725
88,62,88,Goldens Bridge,62,Mt Vernon West,725,725
106,110,106,Pelham,110,Larchmont,300,300
99,71,99,Appalachian Trail,71,Scarsdale,1150,1150
4,99,4,Harlem-125th St.,99,Appalachian Trail,2300,1750
65,78,65,Bronxville,78,Valhalla,500,500
57,74,57,Botanical Garden,74,White Plains,425,425
68,83,68,Crestwood,83,Chappaqua,500,500
88,98,88,Goldens Bridge,98,Pawling,675,675
80,57,80,Hawthorne,57,Botanical Garden,575,575
100,72,100,HM Valley-Wingdale,72,Hartsdale,1375,1375
61,80,61,Wakefield,80,Hawthorne,575,575
81,58,81,Pleasantville,58,Williams Bridge,575,575
33,18,33,Croton-Harmon,18,Yonkers,500,500
25,14,25,Irvington,14,Spuyten Duyvil,425,425
622,4,622,Yankees-E153 St.,4,Harlem-125th St.,975,725
43,31,43,Cold Spring,31,Ossining,675,675
14,4,14,Spuyten Duyvil,4,Harlem-125th St.,975,725
4,76,4,Harlem-125th St.,76,North White Plains,1275,975
72,94,72,Hartsdale,94,Southeast,775,775
64,90,64,Fleetwood,90,Croton Falls,875,875
65,55,65,Bronxville,55,Tremont,300,300
56,86,56,Fordham,86,Katonah,800,800
76,64,76,North White Plains,64,Fleetwood,300,300
9,11,9,Morris Heights,11,Marble Hill,300,300
30,622,30,Scarborough,622,Yankees-E153 St.,575,575
99,84,99,Appalachian Trail,84,Mount Kisco,675,675
65,91,65,Bronxville,91,Brewster,875,875
76,100,76,North White Plains,100,HM Valley-Wingdale,1375,1375
29,25,29,Philipse Manor,25,Irvington,300,300
61,57,61,Wakefield,57,Botanical Garden,300,300
91,85,91,Brewster,85,Bedford Hills,300,300
10,11,10,University Heights,11,Marble Hill,300,300
83,81,83,Chappaqua,81,Pleasantville,300,300
62,58,62,Mt Vernon West,58,Williams Bridge,300,300
94,90,94,Southeast,90,Croton Falls,300,300
72,71,72,Hartsdale,71,Scarsdale,300,300
24,31,24,Ardsley-on-Hudson,31,Ossining,300,300
16,27,16,Riverdale,27,Tarrytown,575,575
99,61,99,Appalachian Trail,61,Wakefield,1450,1450
65,68,65,Bronxville,68,Crestwood,300,300
56,99,56,Fordham,99,Appalachian Trail,1450,1450
57,64,57,Botanical Garden,64,Fleetwood,300,300
9,24,9,Morris Heights,24,Ardsley-on-Hudson,425,425
40,11,40,Manitou,11,Marble Hill,1150,1150
79,88,79,Mount Pleasant,88,Goldens Bridge,300,300
58,65,58,Williams Bridge,65,Bronxville,300,300
30,46,30,Scarborough,46,Beacon,825,825
98,101,98,Pawling,101,Dover Plains,425,425
90,97,90,Croton Falls,97,Patterson,425,425
91,62,91,Brewster,62,Mt Vernon West,875,875
176,57,176,Tenmile River,57,Botanical Garden,1800,1800
39,51,39,Peekskill,51,Poughkeepsie,825,825
4,30,4,Harlem-125th St.,30,Scarborough,1475,1125
91,98,91,Brewster,98,Pawling,425,425
51,25,51,Poughkeepsie,25,Irvington,1375,1375
177,101,177,Wassaic,101,Dover Plains,300,300
23,43,23,Dobbs Ferry,43,Cold Spring,775,775
84,59,84,Mount Kisco,59,Woodlawn,800,800
83,94,83,Chappaqua,94,Southeast,675,675
1,24,1,Grand Central,24,Ardsley-on-Hudson,1275,975
4,66,4,Harlem-125th St.,66,Tuckahoe,1150,875
72,84,72,Hartsdale,84,Mount Kisco,600,600
64,80,64,Fleetwood,80,Hawthorne,500,500
16,40,16,Riverdale,40,Manitou,1150,1150
56,76,56,Fordham,76,North White Plains,425,425
76,54,76,North White Plains,54,Melrose,425,425
9,1,9,Morris Heights,1,Grand Central,975,725
88,65,88,Goldens Bridge,65,Bronxville,725,725
78,100,78,Valhalla,100,HM Valley-Wingdale,1200,1200
98,78,98,Pawling,78,Valhalla,825,825
90,74,90,Croton Falls,74,White Plains,775,775
101,83,101,Dover Plains,83,Chappaqua,1200,1200
79,101,79,Mount Pleasant,101,Dover Plains,1200,1200
11,46,11,Marble Hill,46,Beacon,1450,1450
71,97,71,Scarsdale,97,Patterson,1150,1150
31,24,31,Ossining,24,Ardsley-on-Hudson,300,300
23,20,23,Dobbs Ferry,20,Greystone,300,300
177,78,177,Wassaic,78,Valhalla,1275,1275
83,71,83,Chappaqua,71,Scarsdale,300,300
94,80,94,Southeast,80,Hawthorne,675,675
20,51,20,Greystone,51,Poughkeepsie,1525,1525
72,61,72,Hartsdale,61,Wakefield,425,425
4,43,4,Harlem-125th St.,43,Cold Spring,2000,1500
64,57,64,Fleetwood,57,Botanical Garden,300,300
84,72,84,Mount Kisco,72,Hartsdale,600,600
89,1,89,Purdy's,1,Grand Central,2000,1500
16,17,16,Riverdale,17,Ludlow,300,300
1,37,1,Grand Central,37,Cortlandt,1750,1325
86,81,86,Katonah,81,Pleasantville,300,300
65,58,65,Bronxville,58,Williams Bridge,300,300
56,89,56,Fordham,89,Purdy's,1150,1150
57,54,57,Botanical Garden,54,Melrose,300,300
97,90,97,Patterson,90,Croton Falls,425,425
89,86,89,Purdy's,86,Katonah,300,300
9,14,9,Morris Heights,14,Spuyten Duyvil,300,300
27,31,27,Tarrytown,31,Ossining,300,300
59,100,59,Woodlawn,100,HM Valley-Wingdale,1675,1675
19,27,19,Glenwood,27,Tarrytown,500,500
79,78,79,Mount Pleasant,78,Valhalla,300,300
98,91,98,Pawling,91,Brewster,425,425
71,74,71,Scarsdale,74,White Plains,300,300
31,1,31,Ossining,1,Grand Central,1475,1125
94,57,94,Southeast,57,Botanical Garden,1150,1150
14,622,14,Spuyten Duyvil,622,Yankees-E153 St.,300,300
112,111,112,Harrison,111,Mamaroneck,300,300
4,20,4,Harlem-125th St.,20,Greystone,1150,875
31,37,31,Ossining,37,Cortlandt,300,300
177,91,177,Wassaic,91,Brewster,750,750
23,33,23,Dobbs Ferry,33,Croton-Harmon,300,300
83,84,83,Chappaqua,84,Mount Kisco,300,300
43,11,43,Cold Spring,11,Marble Hill,1150,1150
1,14,1,Grand Central,14,Spuyten Duyvil,975,725
72,74,72,Hartsdale,74,White Plains,300,300
46,22,46,Beacon,22,Hastings-on-Hudson,1150,1150
105,108,105,Mt Vernon East ,108,New Rochelle,300,300
16,30,16,Riverdale,30,Scarborough,575,575
56,66,56,Fordham,66,Tuckahoe,300,300
49,27,49,New Hamburg,27,Tarrytown,825,825
61,1,61,Wakefield,1,Grand Central,975,725
86,94,86,Katonah,94,Southeast,300,300
18,39,18,Yonkers,39,Peekskill,725,725
78,90,78,Valhalla,90,Croton Falls,675,675
79,55,79,Mount Pleasant,55,Tremont,575,575
98,68,98,Pawling,68,Crestwood,1300,1300
89,99,89,Purdy's,99,Appalachian Trail,425,425
90,64,90,Croton Falls,64,Fleetwood,875,875
42,24,42,Garrison,24,Ardsley-on-Hudson,775,775
19,40,19,Glenwood,40,Manitou,875,875
79,91,79,Mount Pleasant,91,Brewster,675,675
39,18,39,Peekskill,18,Yonkers,725,725
30,49,30,Scarborough,49,New Hamburg,825,825
31,14,31,Ossining,14,Spuyten Duyvil,575,575
91,65,91,Brewster,65,Bronxville,875,875
23,10,23,Dobbs Ferry,10,University Heights,425,425
177,68,177,Wassaic,68,Crestwood,1600,1600
83,61,83,Chappaqua,61,Wakefield,575,575
622,46,622,Yankees-E153 St.,46,Beacon,1450,1450
4,33,4,Harlem-125th St.,33,Croton-Harmon,1475,1125
79,176,79,Mount Pleasant,176,Tenmile River,1275,1275
24,11,24,Ardsley-on-Hudson,11,Marble Hill,425,425
14,46,14,Spuyten Duyvil,46,Beacon,1450,1450
74,97,74,White Plains,97,Patterson,1150,1150
86,71,86,Katonah,71,Scarsdale,600,600
97,80,97,Patterson,80,Hawthorne,825,825
49,40,49,New Hamburg,40,Manitou,425,425
89,76,89,Purdy's,76,North White Plains,775,775
42,1,42,Garrison,1,Grand Central,2000,1500
55,83,55,Tremont,83,Chappaqua,575,575
176,1,176,Tenmile River,1,Grand Central,2725,2025
1,112,1,Grand Central,112,Harrison,1275,975
59,90,59,Woodlawn,90,Croton Falls,1150,1150
19,17,19,Glenwood,17,Ludlow,300,300
79,68,79,Mount Pleasant,68,Crestwood,500,500
98,81,98,Pawling,81,Pleasantville,825,825
71,64,71,Scarsdale,64,Fleetwood,300,300
101,86,101,Dover Plains,86,Katonah,825,825
16,622,16,Riverdale,622,Yankees-E153 St.,300,300
20,18,20,Greystone,18,Yonkers,300,300
11,49,11,Marble Hill,49,New Hamburg,1450,1450
4,10,4,Harlem-125th St.,10,University Heights,975,725
177,81,177,Wassaic,81,Pleasantville,1275,1275
43,1,43,Cold Spring,1,Grand Central,2000,1500
115,106,115,Port Chester,106,Pelham,400,400
62,100,62,Mt Vernon West,100,HM Valley-Wingdale,1525,1525
1,4,1,Grand Central,4,Harlem-125th St.,825,625
85,83,85,Bedford Hills,83,Chappaqua,300,300
37,43,37,Cortlandt,43,Cold Spring,300,300
97,57,97,Patterson,57,Botanical Garden,1450,1450
49,17,49,New Hamburg,17,Ludlow,1300,1300
80,4,80,Hawthorne,4,Harlem-125th St.,1475,1125
86,84,86,Katonah,84,Mount Kisco,300,300
18,29,18,Yonkers,29,Philipse Manor,500,500
78,80,78,Valhalla,80,Hawthorne,300,300
98,58,98,Pawling,58,Williams Bridge,1450,1450
90,54,90,Croton Falls,54,Melrose,1150,1150
42,14,42,Garrison,14,Spuyten Duyvil,1150,1150
19,30,19,Glenwood,30,Scarborough,500,500
31,4,31,Ossining,4,Harlem-125th St.,1475,1125
56,177,56,Fordham,177,Wassaic,1800,1800
177,58,177,Wassaic,58,Williams Bridge,1800,1800
176,99,176,Tenmile River,99,Appalachian Trail,450,450
81,90,81,Pleasantville,90,Croton Falls,675,675
25,46,25,Irvington,46,Beacon,1150,1150
37,20,37,Cortlandt,20,Greystone,725,725
22,40,22,Hastings-on-Hudson,40,Manitou,775,775
66,83,66,Tuckahoe,83,Chappaqua,500,500
46,25,46,Beacon,25,Irvington,1150,1150
86,61,86,Katonah,61,Wakefield,800,800
4,108,4,Harlem-125th St.,108,New Rochelle,1125,850
78,57,78,Valhalla,57,Botanical Garden,575,575
91,176,91,Brewster,176,Tenmile River,750,750
49,30,49,New Hamburg,30,Scarborough,825,825
89,66,89,Purdy's,66,Tuckahoe,875,875
61,4,61,Wakefield,4,Harlem-125th St.,975,725
27,11,27,Tarrytown,11,Marble Hill,575,575
18,42,18,Yonkers,42,Garrison,875,875
100,81,100,HM Valley-Wingdale,81,Pleasantville,1200,1200
59,80,59,Woodlawn,80,Hawthorne,575,575
79,58,79,Mount Pleasant,58,Williams Bridge,575,575
30,16,30,Scarborough,16,Riverdale,575,575
71,54,71,Scarsdale,54,Melrose,425,425
33,27,33,Croton-Harmon,27,Tarrytown,300,300
25,23,25,Irvington,23,Dobbs Ferry,300,300
10,43,10,University Heights,43,Cold Spring,1150,1150
62,90,62,Mt Vernon West,90,Croton Falls,875,875
22,17,22,Hastings-on-Hudson,17,Ludlow,300,300
54,86,54,Melrose,86,Katonah,800,800
74,64,74,White Plains,64,Fleetwood,300,300
622,49,622,Yankees-E153 St.,49,New Hamburg,1450,1450
37,33,37,Cortlandt,33,Croton-Harmon,300,300
14,49,14,Spuyten Duyvil,49,New Hamburg,1450,1450
1,79,1,Grand Central,79,Mount Pleasant,1475,1125
86,74,86,Katonah,74,White Plains,600,600
59,57,59,Woodlawn,57,Botanical Garden,300,300
18,19,18,Yonkers,19,Glenwood,300,300
65,100,65,Bronxville,100,HM Valley-Wingdale,1525,1525
89,79,89,Purdy's,79,Mount Pleasant,675,675
42,4,42,Garrison,4,Harlem-125th St.,2000,1500
55,86,55,Tremont,86,Katonah,800,800
1,115,1,Grand Central,115,Port Chester,1375,1025
40,43,40,Manitou,43,Cold Spring,300,300
100,94,100,HM Valley-Wingdale,94,Southeast,650,650
11,16,11,Marble Hill,16,Riverdale,300,300
58,97,58,Williams Bridge,97,Patterson,1450,1450
10,20,10,University Heights,20,Greystone,300,300
176,89,176,Tenmile River,89,Purdy's,750,750
81,80,81,Pleasantville,80,Hawthorne,300,300
33,40,33,Croton-Harmon,40,Manitou,675,675
37,10,37,Cortlandt,10,University Heights,800,800
76,1,76,North White Plains,1,Grand Central,1275,975
22,30,22,Hastings-on-Hudson,30,Scarborough,300,300
54,99,54,Melrose,99,Appalachian Trail,1450,1450
85,86,85,Bedford Hills,86,Katonah,300,300
4,98,4,Harlem-125th St.,98,Pawling,2300,1750
89,56,89,Purdy's,56,Fordham,1150,1150
88,97,88,Goldens Bridge,97,Patterson,675,675
27,1,27,Tarrytown,1,Grand Central,1475,1125
40,20,40,Manitou,20,Greystone,875,875
100,71,100,HM Valley-Wingdale,71,Scarsdale,1375,1375
58,74,58,Williams Bridge,74,White Plains,425,425
61,79,61,Wakefield,79,Mount Pleasant,575,575
176,66,176,Tenmile River,66,Tuckahoe,1600,1600
81,57,81,Pleasantville,57,Botanical Garden,575,575
106,1,106,Pelham,1,Grand Central,1125,850
33,17,33,Croton-Harmon,17,Ludlow,500,500
1,622,1,Grand Central,622,Yankees-E153 St.,975,725
64,4,64,Fleetwood,4,Harlem-125th St.,1150,875
89,177,89,Purdy's,177,Wassaic,750,750
10,33,10,University Heights,33,Croton-Harmon,575,575
62,80,62,Mt Vernon West,80,Hawthorne,500,500
54,76,54,Melrose,76,North White Plains,425,425
74,54,74,White Plains,54,Melrose,425,425
37,23,37,Cortlandt,23,Dobbs Ferry,600,600
57,1,57,Botanical Garden,1,Grand Central,975,725
88,74,88,Goldens Bridge,74,White Plains,600,600
18,9,18,Yonkers,9,Morris Heights,300,300
99,83,99,Appalachian Trail,83,Chappaqua,825,825
4,111,4,Harlem-125th St.,111,Mamaroneck,1275,975
65,90,65,Bronxville,90,Croton Falls,875,875
57,86,57,Botanical Garden,86,Katonah,800,800
76,99,76,North White Plains,99,Appalachian Trail,1150,1150
9,46,9,Morris Heights,46,Beacon,1450,1450
31,622,31,Ossining,622,Yankees-E153 St.,575,575
29,24,29,Philipse Manor,24,Ardsley-on-Hudson,300,300
94,4,94,Southeast,4,Harlem-125th St.,2000,1500
40,33,40,Manitou,33,Croton-Harmon,675,675
100,84,100,HM Valley-Wingdale,84,Mount Kisco,825,825
62,57,62,Mt Vernon West,57,Botanical Garden,300,300
176,79,176,Tenmile River,79,Mount Pleasant,1275,1275
33,30,33,Croton-Harmon,30,Scarborough,300,300
622,16,622,Yankees-E153 St.,16,Riverdale,300,300
84,81,84,Mount Kisco,81,Pleasantville,300,300
22,20,22,Hastings-on-Hudson,20,Greystone,300,300
54,89,54,Melrose,89,Purdy's,1150,1150
14,16,14,Spuyten Duyvil,16,Riverdale,300,300
4,88,4,Harlem-125th St.,88,Goldens Bridge,1750,1325
56,98,56,Fordham,98,Pawling,1450,1450
17,27,17,Ludlow,27,Tarrytown,500,500
9,23,9,Morris Heights,23,Dobbs Ferry,425,425
29,1,29,Philipse Manor,1,Grand Central,1475,1125
40,10,40,Manitou,10,University Heights,1150,1150
100,61,100,HM Valley-Wingdale,61,Wakefield,1675,1675
57,99,57,Botanical Garden,99,Appalachian Trail,1450,1450
58,64,58,Williams Bridge,64,Fleetwood,300,300
29,37,29,Philipse Manor,37,Cortlandt,300,300
176,56,176,Tenmile River,56,Fordham,1800,1800
31,46,31,Ossining,46,Beacon,825,825
10,23,10,University Heights,23,Dobbs Ferry,425,425
51,24,51,Poughkeepsie,24,Ardsley-on-Hudson,1375,1375
91,97,91,Brewster,97,Patterson,425,425
54,66,54,Melrose,66,Tuckahoe,300,300
59,1,59,Woodlawn,1,Grand Central,975,725
4,65,4,Harlem-125th St.,65,Bronxville,1150,875
72,83,72,Hartsdale,83,Chappaqua,300,300
24,43,24,Ardsley-on-Hudson,43,Cold Spring,775,775
84,94,84,Mount Kisco,94,Southeast,300,300
16,39,16,Riverdale,39,Peekskill,800,800
176,177,176,Tenmile River,177,Wassaic,300,300
1,59,1,Grand Central,59,Woodlawn,975,725
88,64,88,Goldens Bridge,64,Fleetwood,725,725
106,112,106,Pelham,112,Harrison,300,300
65,80,65,Bronxville,80,Hawthorne,500,500
56,111,56,Fordham,111,Mamaroneck,425,425
17,40,17,Ludlow,40,Manitou,875,875
57,76,57,Botanical Garden,76,North White Plains,425,425
76,89,76,North White Plains,89,Purdy's,775,775
68,85,68,Crestwood,85,Bedford Hills,725,725
29,14,29,Philipse Manor,14,Spuyten Duyvil,575,575
40,23,40,Manitou,23,Dobbs Ferry,775,775
80,59,80,Hawthorne,59,Woodlawn,575,575
79,100,79,Mount Pleasant,100,HM Valley-Wingdale,1200,1200
25,16,25,Irvington,16,Riverdale,425,425
4,42,4,Harlem-125th St.,42,Garrison,2000,1500
51,37,51,Poughkeepsie,37,Cortlandt,825,825
24,20,24,Ardsley-on-Hudson,20,Greystone,300,300
97,4,97,Patterson,4,Harlem-125th St.,2300,1750
43,33,43,Cold Spring,33,Croton-Harmon,675,675
84,71,84,Mount Kisco,71,Scarsdale,600,600
4,78,4,Harlem-125th St.,78,Valhalla,1475,1125
65,57,65,Bronxville,57,Botanical Garden,300,300
56,88,56,Fordham,88,Goldens Bridge,800,800
90,1,90,Croton Falls,1,Grand Central,2000,1500
76,66,76,North White Plains,66,Tuckahoe,300,300
68,62,68,Crestwood,62,Mt Vernon West,300,300
57,89,57,Botanical Garden,89,Purdy's,1150,1150
58,54,58,Williams Bridge,54,Melrose,300,300
98,90,98,Pawling,90,Croton Falls,425,425
68,98,68,Crestwood,98,Pawling,1300,1300
42,46,42,Garrison,46,Beacon,425,425
61,59,61,Wakefield,59,Woodlawn,300,300
80,72,80,Hawthorne,72,Hartsdale,300,300
20,27,20,Greystone,27,Tarrytown,500,500
39,40,39,Peekskill,40,Manitou,300,300
51,14,51,Poughkeepsie,14,Spuyten Duyvil,1675,1675
43,10,43,Cold Spring,10,University Heights,1150,1150
54,56,54,Melrose,56,Fordham,300,300
4,55,4,Harlem-125th St.,55,Tremont,975,725
78,4,78,Valhalla,4,Harlem-125th St.,1475,1125
24,33,24,Ardsley-on-Hudson,33,Croton-Harmon,300,300
43,46,43,Cold Spring,46,Beacon,425,425
16,29,16,Riverdale,29,Philipse Manor,575,575
108,112,108,New Rochelle,112,Harrison,300,300
1,49,1,Grand Central,49,New Hamburg,2300,1750
88,54,88,Goldens Bridge,54,Melrose,800,800
56,101,56,Fordham,101,Dover Plains,1675,1675
17,30,17,Ludlow,30,Scarborough,500,500
57,66,57,Botanical Garden,66,Tuckahoe,300,300
76,79,76,North White Plains,79,Mount Pleasant,300,300
29,4,29,Philipse Manor,4,Harlem-125th St.,1475,1125
54,177,54,Melrose,177,Wassaic,1800,1800
27,43,27,Tarrytown,43,Cold Spring,675,675
4,176,4,Harlem-125th St.,176,Tenmile River,2725,2025
19,39,19,Glenwood,39,Peekskill,725,725
79,90,79,Mount Pleasant,90,Croton Falls,675,675
39,17,39,Peekskill,17,Ludlow,725,725
71,86,71,Scarsdale,86,Katonah,600,600
90,99,90,Croton Falls,99,Appalachian Trail,425,425
91,64,91,Brewster,64,Fleetwood,875,875
108,4,108,New Rochelle,4,Harlem-125th St.,1125,850
20,40,20,Greystone,40,Manitou,875,875
31,49,31,Ossining,49,New Hamburg,825,825
51,27,51,Poughkeepsie,27,Tarrytown,1200,1200
24,10,24,Ardsley-on-Hudson,10,University Heights,425,425
43,23,43,Cold Spring,23,Dobbs Ferry,775,775
84,61,84,Mount Kisco,61,Wakefield,800,800
59,4,59,Woodlawn,4,Harlem-125th St.,975,725
72,86,72,Hartsdale,86,Katonah,600,600
16,42,16,Riverdale,42,Garrison,1150,1150
56,78,56,Fordham,78,Valhalla,575,575
76,56,76,North White Plains,56,Fordham,425,425
49,39,49,New Hamburg,39,Peekskill,675,675
18,51,18,Yonkers,51,Poughkeepsie,1525,1525
98,80,98,Pawling,80,Hawthorne,825,825
90,76,90,Croton Falls,76,North White Plains,775,775
101,85,101,Dover Plains,85,Bedford Hills,825,825
20,17,20,Greystone,17,Ludlow,300,300
39,30,39,Peekskill,30,Scarborough,300,300
71,99,71,Scarsdale,99,Appalachian Trail,1150,1150
23,22,23,Dobbs Ferry,22,Hastings-on-Hudson,300,300
51,4,51,Poughkeepsie,4,Harlem-125th St.,2575,1925
177,80,177,Wassaic,80,Hawthorne,1275,1275
76,177,76,North White Plains,177,Wassaic,1475,1475
17,622,17,Ludlow,622,Yankees-E153 St.,300,300
106,56,106,Pelham,56,Fordham,300,300
24,23,24,Ardsley-on-Hudson,23,Dobbs Ferry,300,300
64,59,64,Fleetwood,59,Woodlawn,300,300
56,55,56,Fordham,55,Tremont,300,300
16,19,16,Riverdale,19,Glenwood,300,300
1,39,1,Grand Central,39,Peekskill,1750,1325
86,83,86,Katonah,83,Chappaqua,300,300
78,79,78,Valhalla,79,Mount Pleasant,300,300
57,56,57,Botanical Garden,56,Fordham,300,300
98,57,98,Pawling,57,Botanical Garden,1450,1450
89,88,89,Purdy's,88,Goldens Bridge,300,300
9,16,9,Morris Heights,16,Riverdale,300,300
68,65,68,Crestwood,65,Bronxville,300,300
101,62,101,Dover Plains,62,Mt Vernon West,1525,1525
81,4,81,Pleasantville,4,Harlem-125th St.,1475,1125
27,33,27,Tarrytown,33,Croton-Harmon,300,300
19,29,19,Glenwood,29,Philipse Manor,500,500
79,80,79,Mount Pleasant,80,Hawthorne,300,300
11,25,11,Marble Hill,25,Irvington,425,425
71,76,71,Scarsdale,76,North White Plains,300,300
56,176,56,Fordham,176,Tenmile River,1800,1800
90,89,90,Croton Falls,89,Purdy's,300,300
91,54,91,Brewster,54,Melrose,1150,1150
42,49,42,Garrison,49,New Hamburg,425,425
101,98,101,Dover Plains,98,Pawling,425,425
94,59,94,Southeast,59,Woodlawn,1150,1150
74,1,74,White Plains,1,Grand Central,1275,975
20,30,20,Greystone,30,Scarborough,500,500
31,39,31,Ossining,39,Peekskill,300,300
4,22,4,Harlem-125th St.,22,Hastings-on-Hudson,1275,975
57,177,57,Botanical Garden,177,Wassaic,1800,1800
1,16,1,Grand Central,16,Riverdale,975,725
74,86,74,White Plains,86,Katonah,600,600
46,24,46,Beacon,24,Ardsley-on-Hudson,1150,1150
105,110,105,Mt Vernon East ,110,Larchmont,300,300
64,72,64,Fleetwood,72,Hartsdale,300,300
111,4,111,Mamaroneck,4,Harlem-125th St.,1275,975
56,68,56,Fordham,68,Crestwood,300,300
49,29,49,New Hamburg,29,Philipse Manor,825,825
108,115,108,New Rochelle,115,Port Chester,400,400
27,10,27,Tarrytown,10,University Heights,575,575
59,79,59,Woodlawn,79,Mount Pleasant,575,575
79,57,79,Mount Pleasant,57,Botanical Garden,575,575
89,101,89,Purdy's,101,Dover Plains,650,650
90,66,90,Croton Falls,66,Tuckahoe,875,875
62,4,62,Mt Vernon West,4,Harlem-125th St.,1150,875
27,46,27,Tarrytown,46,Beacon,825,825
19,42,19,Glenwood,42,Garrison,875,875
39,20,39,Peekskill,20,Greystone,725,725
30,51,30,Scarborough,51,Poughkeepsie,1200,1200
31,16,31,Ossining,16,Riverdale,575,575
71,89,71,Scarsdale,89,Purdy's,775,775
94,72,94,Southeast,72,Hartsdale,775,775
46,1,46,Beacon,1,Grand Central,2300,1750
16,9,16,Riverdale,9,Morris Heights,300,300
74,99,74,White Plains,99,Appalachian Trail,1150,1150
29,622,29,Philipse Manor,622,Yankees-E153 St.,575,575
